timestamp,epoch,train_g_loss,train_d_loss,test_psnr,test_ssim,best_psnr
2025-06-03 15:10:14,44,0.0907340574183733,0.00279888468039744,22.6627217923011,0.7362086778649917,22.84658827648296
2025-06-03 15:23:20,45,0.09132423129374145,0.003082204613947197,22.8606336733678,0.745756918942178,22.8606336733678
2025-06-03 15:36:31,46,0.09082410095734371,0.010739739651658706,22.82506709498959,0.7410808084728001,22.8606336733678
2025-06-03 15:49:43,47,0.09004970863103137,0.004241431864032235,22.871160307130612,0.7422808696340014,22.871160307130612
2025-06-03 16:02:48,48,0.09050735693781668,0.0027069924204165094,22.821550636024742,0.7393557184434437,22.871160307130612
2025-06-03 16:15:54,49,0.08894727645082717,0.0034839773782820616,22.87229199842973,0.7406835045431044,22.87229199842973
2025-06-03 18:00:36,50,0.09028495227894409,0.004868951915241369,22.796687119490617,0.7395278286788013,22.87229199842973
2025-06-03 18:15:22,51,0.08835047528238915,0.003101707423991104,22.858742555538257,0.7444365338220463,22.87229199842973
2025-06-03 18:30:11,52,0.08883195229210236,0.004620654397812968,22.855881937733898,0.7451043670306673,22.87229199842973
2025-06-03 18:45:00,53,0.08711531797890638,0.003512888867919753,22.788586581503594,0.742173591798002,22.87229199842973
2025-06-03 18:59:48,54,0.08665173821669246,0.0031332224527512074,22.92954855365353,0.7467627161657894,22.92954855365353
2025-06-03 19:14:37,55,0.08694241010059839,0.006198397305075099,22.883117875852786,0.7455375538422511,22.92954855365353
2025-06-03 19:29:26,56,0.08614261982987736,0.0035313712122752895,22.81249418125286,0.7444833573344705,22.92954855365353
2025-06-03 19:44:15,57,0.08718918672114102,0.004290706574005986,22.87553457780318,0.746492013283126,22.92954855365353
2025-06-03 20:49:03,58,0.08557102705584534,0.0031213158671872096,22.93081342757165,0.7486496660467628,22.93081342757165
2025-06-03 21:03:47,59,0.08548772011227518,0.0040056219261784395,22.867072447196588,0.7474193425549494,22.93081342757165
2025-06-03 21:18:34,60,0.08632792712437257,0.004103496940972816,23.01231281073777,0.7523806733893348,23.01231281073777
2025-06-03 21:33:22,61,0.08447937685450613,0.003968618713590511,22.899695254706003,0.7486255553427276,23.01231281073777
2025-06-03 21:48:12,62,0.08427237805140347,0.003359492108926873,22.88758066817597,0.7442859855669361,23.01231281073777
2025-06-03 22:02:56,63,0.0835195353436298,0.0032676813751714977,22.96139800298464,0.7497292668460966,23.01231281073777
2025-06-03 22:17:36,64,0.0833356679756411,0.003512803839639873,22.88702820897936,0.7434991345955775,23.01231281073777
2025-06-03 22:32:20,65,0.0830218558279927,0.003346587298597864,22.97807086931242,0.7469850347175465,23.01231281073777
2025-06-03 22:47:07,66,0.0824215275817398,0.0028963417968083335,22.880384120074186,0.747001722038209,23.01231281073777
2025-06-03 23:01:55,67,0.08293274465897847,0.003983619332807343,22.92192762381547,0.7477695156748478,23.01231281073777
2025-06-03 23:16:45,68,0.08156057907684588,0.0037115091025563224,22.939912429222694,0.7501709369512705,23.01231281073777
2025-06-03 23:31:34,69,0.08139925172196552,0.0026990710706501215,22.858847329666563,0.745794321690406,23.01231281073777
2025-06-03 23:46:23,70,0.08209408471417,0.0028562341969598413,22.965186114077802,0.752664374513226,23.01231281073777
